test group,most ads day,most ads hour,n_users,n_converted,n_impressions
psa,Sunday,19,174,6,4180
psa,Sunday,20,159,5,4810
psa,Sunday,21,136,3,3153
psa,Sunday,22,124,3,2350
psa,Sunday,23,99,0,1920
psa,Thursday,0,44,0,1203
psa,Thursday,1,34,0,1017
psa,Thursday,2,39,0,1189
psa,Thursday,3,8,0,141
psa,Thursday,4,6,0,225
psa,Thursday,5,5,0,105
psa,Thursday,6,18,0,633
psa,Thursday,7,60,0,1893
psa,Thursday,8,140,4,3874
psa,Thursday,9,220,4,4256
psa,Thursday,10,233,1,6688
psa,Thursday,11,283,5,7009
psa,Thursday,12,317,7,10095
psa,Thursday,13,368,5,9895
psa,Thursday,14,323,8,9741
psa,Thursday,15,282,8,9429
psa,Thursday,16,263,9,5743
psa,Thursday,17,232,4,5323
psa,Thursday,18,205,5,5327
psa,Thursday,19,193,3,4695
psa,Thursday,20,178,3,4001
psa,Thursday,21,175,4,4135
psa,Thursday,22,160,6,4581
psa,Thursday,23,119,3,3042
psa,Tuesday,0,24,0,257
psa,Tuesday,1,20,0,229
psa,Tuesday,2,16,0,404
psa,Tuesday,3,7,1,141
psa,Tuesday,4,4,0,68
psa,Tuesday,6,4,0,135
psa,Tuesday,7,22,0,230
psa,Tuesday,8,99,0,1997
psa,Tuesday,9,183,2,3322
psa,Tuesday,10,233,4,4359
psa,Tuesday,11,361,2,8405
psa,Tuesday,12,273,3,5627
psa,Tuesday,13,306,3,8019
psa,Tuesday,14,247,3,5381
psa,Tuesday,15,216,4,5141
psa,Tuesday,16,159,6,2764
psa,Tuesday,17,160,1,2966
psa,Tuesday,18,120,4,2823
psa,Tuesday,19,90,1,2206
psa,Tuesday,20,90,2,2119
psa,Tuesday,21,145,4,2954
psa,Tuesday,22,99,1,1581
psa,Tuesday,23,29,1,562
psa,Wednesday,0,10,0,508
psa,Wednesday,1,12,0,230
psa,Wednesday,2,20,0,393
psa,Wednesday,3,8,0,158
psa,Wednesday,4,2,0,17
psa,Wednesday,5,3,0,31
psa,Wednesday,6,7,0,313
psa,Wednesday,7,17,0,293
psa,Wednesday,8,64,0,1312
psa,Wednesday,9,154,1,4009
psa,Wednesday,10,166,1,4809
psa,Wednesday,11,274,3,4860
psa,Wednesday,12,367,6,7905
psa,Wednesday,13,368,4,8776
psa,Wednesday,14,231,4,4679
psa,Wednesday,15,277,5,6979
psa,Wednesday,16,216,8,4717
psa,Wednesday,17,228,3,5686
psa,Wednesday,18,246,7,4864
psa,Wednesday,19,215,4,5759
psa,Wednesday,20,204,4,5251
psa,Wednesday,21,153,2,3955
psa,Wednesday,22,157,3,3101
psa,Wednesday,23,91,0,1873
